source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,pmra,pmdec,distance_pc,x,y,z,abs_mag,temp_k,radius_solar,star_color
2976507997939000064,77.14837445280509,-18.178273078582706,108.32540981694386,0.0976161,9.05489,2.7088056,,503.5940946723383,-1399.6317956169496,9.231444420010712,1.950842486629391,8.55099489223705,-2.8799767403651804,9.22854138262218,2575.4026,0.6639823053263041,#ffcc6f
2976850598890749824,75.83262223513711,-17.375510085672932,108.27324701475469,0.039790057,10.561693,2.5987225,14.761837,-228.28715486600788,-444.68508728538166,9.235891852986798,2.1573816366886915,8.54634778007763,-2.7581411159888978,10.734298996854191,2652.2878,0.3129348667091661,#ffcc6f
2571094283835172736,30.56463581614585,10.335957901329609,108.25824276088214,0.057761323,13.43526,3.8737068,23.084858,-673.6390077894835,-280.5850526143878,9.237171918712672,7.824654808932249,4.62097164431629,1.6573301539923158,13.607564685925963,1973.368,0.15053099182293134,#ffcc6f
6401464693867773568,321.61171581249374,-65.3626399731515,108.01020563892783,0.10606345,4.0891333,0.70557785,-29.779509,80.81524728416929,800.5726893856181,9.258384372889216,3.025214453633285,-2.3967483983020226,-8.415542514949598,4.256457227257328,5582.696,1.3950049245225047,#fff4ea
3085716990368639744,117.97896837066911,-0.006769120798188667,107.84878596134138,0.04206865,11.653467,3.1158705,39.19755,263.5429128982624,-756.86338177668,9.272241602779395,-4.350048255942264,8.188500675414636,-0.0010954545669260391,11.817543481714743,2326.6504,0.24693583044319098,#ffcc6f
3269362645115584640,49.841600693178854,3.3706161908023495,107.8023393880993,0.1837598,4.6564903,0.8589401,18.733732,269.2979397635821,93.95652212078687,9.276236542510446,5.971923638007744,7.077234002472053,0.5453909869661554,4.819631253201681,5109.114,1.285102209318775,#ffd2a1
1227133699053734528,214.1007048706065,13.807844590980304,107.7374959463015,0.21634701,18.328342,4.8703938,,86.67016578604844,127.95282419763794,9.281819585805296,-7.46373415337216,-5.0534618366251705,2.215258625307151,18.490176824639306,1646.0707,0.022836143570700157,#ffcc6f
5381537023379295744,176.62723833501605,-40.49486212870635,107.4237327880164,0.035096146,11.724745,2.9091444,17.230125,-1534.6787496508061,381.3963616814742,9.30892991750101,-7.066846288693237,0.41647669857263087,-6.045031588046006,11.880245993153629,2446.5452,0.21696985173568756,#ffcc6f
423027104407576576,2.874734923550554,59.13922658078038,107.38727063119035,0.027303873,13.467986,3.8216057,,-905.7217674154335,-1166.8263106109798,9.312090661419163,4.770659992049517,0.23956219376241414,7.993650335239079,13.62275012904066,1994.1412,0.14638387665223962,#ffcc6f
5381537023379295232,176.62052057636615,-40.498565145629904,107.30243385622761,0.08731465,4.701676,0.85635567,16.94267,-1530.9705104799332,403.2865748639044,9.319453101500756,-7.074395532199141,0.4177539431228054,-6.0523231579351595,4.85472375605554,5116.388,1.2609077893919374,#ffd2a1
5138510181584617856,31.2762752397911,-17.615403066083893,107.29720247543435,0.23074427,9.17051,2.395567,25.959593,1275.218139180148,-169.70135038413508,9.319907480616278,7.591974823096708,4.611688350557945,-2.8204475336444537,9.32345228653721,2807.2427,0.5349394878366285,#ffcc6f
4485574134969389312,275.3683665207943,14.23247324605056,107.03389973358114,0.18557437,18.652378,4.288332,,227.57135828617876,-247.228687615943,9.342834396290403,0.8472733164212607,-9.016344971094112,2.2969993134551636,18.799984827502335,1822.4503,0.016152759988706883,#ffcc6f
4667836363565989120,55.03513536747006,-67.39901254142404,106.86018732729843,0.43787384,20.045534,3.3193321,,-331.0383553371497,499.6450193355619,9.358022150355529,2.060999349069871,2.947257124161298,-8.639359680772571,20.189613789768288,2219.7644,0.005741409844213316,#ffcc6f
3727748630418376704,209.55650642406135,12.582063477437002,106.84044046439892,0.041284353,11.051151,2.660573,,-329.60298220067625,720.3421820549452,9.35975175367437,-7.946239400740522,-4.506117025612389,2.038906968945745,11.194829624593329,2608.5225,0.26169775638671533,#ffcc6f
5020179503252128768,31.449610334078532,-30.17617825921,106.60957230063393,0.027331987,11.050699,2.547885,39.89255,-525.1906277432233,103.98124200102025,9.380020746917992,6.917677394258647,4.230794165624065,-4.714966533253046,11.189680239201934,2689.401,0.24677886634859653,#ffcc6f
3186021141200137472,69.44860243520402,-8.826516218606763,106.33898970249588,0.015222114,13.600672,0.5692425,,238.38098733631008,-1552.4079864575115,9.403888477760562,3.2621167501038517,8.701124767892342,-1.4429624334750322,13.734134417614943,6090.6445,0.014907391754316997,#f8f7ff
5412250540681250560,146.12137189336056,-45.77909735114582,106.17268218621597,0.014093538,9.158753,2.31528,47.42343,-462.6209234113973,-582.6676603018338,9.41861860705471,-5.453546894883128,3.661679394606954,-6.749911609908582,9.288817339357237,2873.7185,0.5186843688118795,#ffcc6f
5664814198431308288,144.00748512333524,-21.665200855258018,105.97890913558383,0.022696694,9.891662,2.3962393,-35.028374,138.7217909625574,-990.3417190688432,9.435839717133272,-7.095156437692582,5.153516834370054,-3.4835456836337984,10.017758868541412,2806.6992,0.38869733625613206,#ffcc6f
5368479017141170304,179.85615309644894,-52.78916142373409,105.70523312526174,0.09215584,16.013762,5.132373,,-1068.4435683430893,-129.30454458944786,9.460269566928538,-5.721077934375155,0.014363380372928957,-7.534305624346828,16.13424396218143,1577.4476,0.0735862045773055,#ffcc6f
1143321672882274560,92.58432174711153,82.10081629100655,105.69034761779739,0.014169129,9.470075,2.362997,-2.0164733,50.26318128303255,-1336.2461565890833,9.461601958357154,-0.05863059122954513,1.298989577632737,9.37182480359943,9.590251285160619,2833.8267,0.4642567412233918,#ffcc6f
4147112604476417792,271.43447434344563,-14.378357625594514,105.52292580796777,0.036142536,13.255206,3.6783772,,-344.8700294006337,24.87038991976127,9.476613658531562,0.22980366904130037,-9.176901104485824,-2.3532706655310576,13.371940229495936,2053.6008,0.15492981391705485,#ffcc6f
3409711211681795584,70.73548173808452,18.953202926391814,105.42748417135273,0.021029381,9.004439,2.3010335,25.82175,656.6469583029074,-1116.5935413672632,9.485192669253934,2.959782649007709,8.468621056845379,3.080750564238613,9.119208569045622,2885.853,0.5561154771228524,#ffcc6f
6078114541943893888,189.46009727129754,-52.00134627910898,105.34666432766488,0.021332793,9.565008,2.489376,-5.9253745,-1034.7101149952066,29.79226493193891,9.492469518442949,-5.7644958002493585,-0.9605192338662898,-7.480305376710829,9.678112107262756,2733.4502,0.4791928127165174,#ffcc6f
1040827088726734976,130.331590389547,59.49165865053633,105.29350582131478,0.031286426,13.082282,3.6711798,7.132652,-260.27618577042017,-1279.5622335452344,9.49726188903825,-3.1204695531069144,3.6754213799080055,8.182415953569352,13.194289996681857,2056.6836,0.16763399576638285,#ffcc6f
5203276810942065536,139.28558758927346,-77.82674697465572,105.03359374375755,0.026477605,11.5566025,3.1512985,44.219772,636.19229909663,-806.5292819354914,9.52076344678469,-1.521723150518821,1.309554517185324,-9.306683739621008,11.663243604050383,2307.2925,0.2695883070750298,#ffcc6f
970354749937140736,90.62210758518228,49.86182103675996,104.95896402103264,0.034662623,12.681532,3.4047127,20.966599,67.38199584113659,-849.9876420561495,9.527533063299012,-0.06668489293265199,6.141402011273507,7.2837229994856445,12.786629583255685,2177.8237,0.18037804182064732,#ffcc6f
1810616448010879488,310.14718809392286,15.502590198203675,104.91901080176949,0.0299567,11.837387,3.1421013,-59.29915,1320.6786892213263,662.146668730158,9.53116115333347,5.921674324199727,-7.020470996740651,2.54750723509277,11.941658021556034,2312.2861,0.23612411400310895,#ffcc6f
1349047857580994560,265.9832423101327,43.37593023818892,104.91474639894832,0.017698266,9.450096,2.3977938,-14.531079,10.337355188418133,-603.1982960565199,9.53154856036543,-0.4853034450473867,-6.9111141371922935,6.546098067362744,9.554278806305046,2805.444,0.4816106357007597,#ffcc6f
628080246633611520,148.4782397121578,20.948079178895128,104.76384886334955,0.0356943,12.36353,3.1983938,-11.332174,-345.9726427859206,393.24896834576657,9.545277410572863,-7.598989190169008,4.660637267446099,3.412644779900145,12.464587385798495,2282.0605,0.19053873696315016,#ffcc6f
3478127467639543296,173.62327851191714,-32.83031725241797,104.6570356923785,0.026720122,14.548313,0.93699646,,-701.8023325342459,828.9282876991438,9.555019338970476,-7.979216467197301,0.8917300421126076,-5.180281524174247,14.647155288937705,4899.283,0.015130697054729317,#ffd2a1
3478127463341507072,173.61931513361625,-32.82768460705796,104.6132883058554,0.027652346,5.7383237,1.0040288,-22.090546,-670.2301626896037,822.3992428347119,9.559015075372868,-7.982728143204917,0.8926815933104925,-5.1820787504489525,5.8362579558748156,4733.0854,0.9375940275883433,#ffd2a1
2188318517720321664,306.5243172601894,58.57537971545967,104.44145826068146,0.026091075,12.352267,3.3413076,-60.256958,261.0376475327252,542.905592839083,9.574741837710102,2.971084412711852,-4.0116282314788565,8.170384177242752,12.446631900403437,2208.8135,0.20507399536968784,#ffcc6f
4025850731201819392,175.26250050618376,34.19993957543697,104.42517041496379,0.100499645,5.1109953,0.9060354,-5.6971955,-12.521605057437956,-381.1958714817105,9.576235269966132,-7.893264416684506,0.6541457230473788,5.382634314818754,5.2050212560514515,4980.293,1.1325073396439285,#ffd2a1
6779821003058453120,312.5691416793731,-34.413153176093374,104.13101101563805,0.03460256,12.0486,3.1831532,-25.37443,335.76897981213995,-297.0361907341508,9.603287149971331,5.359446211465624,-5.834657819489818,-5.427359258486359,12.136500621881295,2290.1643,0.22005014562731984,#ffcc6f
5425628298649940608,144.94009578928657,-41.065969983608085,104.0957433164141,0.017555553,9.631405,2.5324478,18.05817,-527.1472498748954,357.0394241266624,9.606540749321084,-5.928678909134628,4.160550129692841,-6.310801389606681,9.718569730217975,2700.8813,0.48175934592925296,#ffcc6f
43574131143039104,58.17597943609416,17.014956629753385,103.50079405457333,0.08819867,12.176142,3.2023096,35.963917,433.182994699696,-645.3686186694839,9.661761623516874,4.8717574551884955,7.849990116687935,2.8272375449156173,12.250860147382692,2279.988,0.21062887341133957,#ffcc6f
1725759404752580736,211.37927527966667,83.8427056014529,103.44742930702999,0.4872679,20.120592,2.5086575,,-623.6683839873601,561.3087954002305,9.666745773179333,-0.8851901201864668,-0.5398829692218426,9.610980109954914,20.19419063138826,2718.7717,0.0038191916603875476,#ffcc6f
5946986063684477056,263.80723698261943,-48.67877743078911,103.30805319435495,0.021558356,9.293614,2.27184,-23.446016,74.0691562363136,470.16581543001007,9.679787481027113,-0.6894611671789671,-6.354072837133551,-7.269710266386344,9.364285274952879,2911.0493,0.4882012463055025,#ffcc6f
5946986063671469824,263.8059466621306,-48.67780401885913,103.202705055613,0.046161182,11.613846,2.8484068,-25.698797,-8.65834977880175,501.7491179210584,9.689668497169027,-0.6903215424428222,-6.360666367795943,-7.277022406909215,11.682301229060652,2484.2021,0.23052655912383438,#ffcc6f
6254033894121581952,235.51777703710027,-19.476366652438784,103.17978190067224,0.31588787,10.685861,2.6100235,83.180595,-2009.7472541822233,-1037.933000103394,9.691821222908446,-5.1730567556722,-7.531849515500285,-3.231427748731341,10.753833661527112,2644.18,0.3120371831205102,#ffcc6f
6794047652729201024,311.2911826481039,-31.3425000799281,102.9431913175485,0.023112189,7.8434396,2.1113243,-6.8976626,281.31903452626165,-360.14771869635376,9.714095582245003,5.474776936150118,-6.233742309791895,-5.052813799805118,7.9064277169272765,3058.0764,0.8657108511843647,#ffcc6f
4698424845771339520,25.75030396963025,-67.31295815760012,102.90778143705751,0.01108138,13.696558,0.6537342,,-329.264342191648,-1018.5090541981501,9.717438137675135,3.375799820798426,1.6283146143380065,-8.965554698186486,13.758799075938928,5764.813,0.016452231980592615,#fff4ea
1749030362195988096,307.6793554237034,7.826109074596544,102.7965519033275,0.8009058,20.135214,3.221901,,664.0465349788406,-111.65947422054677,9.727952752154815,5.890749511092541,-7.627417630882457,1.3246264491632618,20.195106588917955,2269.675,0.005477803092258492,#ffcc6f
750586216906847104,162.43628733718958,35.542869572300205,102.75212885827295,0.40586728,11.625256,2.9660664,64.614235,-700.8643323815055,-1048.6687776057422,9.732158458529945,-7.549708396446143,2.38964699748866,5.657419784491866,11.684209727327065,2412.2944,0.24426008574188485,#ffcc6f
5052876333365036928,44.36088479989624,-31.096292745521065,102.6992596547482,0.4758745,19.888165,3.074171,,623.3875119392331,346.37721600522434,9.737168538135279,5.961213250469977,5.829684288504737,-5.029032592739257,19.946001084451794,2349.8625,0.005731522232132272,#ffcc6f
3200303384927512960,70.09847133151465,-5.501688546295259,102.59423728721372,0.06124402,14.904285,4.640273,,334.52908551632225,127.91372740359907,9.747136159319444,3.3026856978157006,9.122808019586165,-0.9345075320887375,14.959900266724265,1711.5197,0.10735227036850052,#ffcc6f
4017860992519744384,175.55067547083934,26.70295395358736,102.30138546700663,0.030192282,9.582008,2.4492664,8.869629,895.08752383054,-813.5498399187834,9.77503868041466,-8.706196574225444,0.6774451439193839,4.392560812501966,9.631415938813248,2764.5098,0.4786693474359183,#ffcc6f
2358022227591374336,16.23022246917644,-18.122448954793846,102.28274631661318,0.035804268,12.697248,3.4199324,12.490268,1292.1878660323266,488.1039078364903,9.776820001533101,8.921517423583333,2.597044341802506,-3.0410683796633498,12.74626036097884,2170.5159,0.18500227553026646,#ffcc6f
6792436799477051904,310.4647312153549,-32.437514921328194,101.97239029860124,0.07701546,9.605488,3.1264439,-8.083389,296.9075913988356,-301.4290811285728,9.806576045454502,5.371297143987653,-6.296825540955343,-5.260046466814204,9.647900821310408,2320.8386,0.6740390166367219,#ffcc6f
1589250088362827776,228.7472256453729,48.8013123316322,101.96447580239942,0.2567181,19.241777,3.7472115,,-938.0438885103149,1464.629577793265,9.807337233194191,-4.259490877953218,-4.8565440673248625,7.379334711771929,19.28402187443128,2024.5829,0.010473204127644013,#ffcc6f
